,user.loginStatus,user.id,user.personal.language,classified.id,classified.type,classified.subtype,classified.price,classified.transactionType,classified.zip,classified.visualisationOption,classified.kitchen.type,classified.building.constructionYear,classified.building.condition,classified.energy.heatingType,classified.certificates.primaryEnergyConsumptionLevel,classified.bedroom.count,classified.land.surface,classified.atticExists,classified.basementExists,classified.outdoor.garden.surface,classified.outdoor.terrace.exists,classified.specificities.SME.office.exists,classified.wellnessEquipment.hasSwimmingPool,classified.parking.parkingSpaceCount.indoor,classified.parking.parkingSpaceCount.outdoor,classified.condition.isNewlyBuilt,customer.id,customer.name,customer.family,customer.groupInfo.id,customer.groupInfo.name,customer.networkInfo.id,customer.networkInfo.name,screen.name,screen.language
0,logged out,,,9536288,house,apartment block,480000,for sale,2060,xl,,,good,gas,208,4,139,true,true,,,,,,,false,23235,immobib,agency,,,,,classified details,en
0,logged out,,,9628009,house,apartment block,645000,for sale,2060,xl,installed,1950,good,gas,250,3,65,,true,,,,,,,false,2837127,made,property_developer,,,,,classified details,en
0,logged out,,,9756102,house,apartment block,595000,for sale,2000,xl,,,,gas,241,3,62,,,,,,,,,false,3840232,,private,,,,,classified details,en
0,logged out,,,9747254,house,apartment block,730000,for sale,2018,xl,installed,1900,good,gas,,4,70,,true,,,,,,,false,3857729,,private,,,,,classified details,en
0,logged out,,,9724003,house,apartment block,440000,for sale,2060,xl,installed,1938,to be done up,gas,,5,165,,true,36,,,,,,false,3823107,,private,,,,,classified details,en
0,logged out,,,classified details,en
0,logged out,,,9630334,house,apartment block,1785000,for sale,8570,xl,,2021,as new,gas,,13,900,,true,,true,,,5,9,false,3532304,nmb projects bv,property_developer,,,,,classified details,en
0,logged out,,,9342472,house,apartment block,299000,for sale,6700,xl,installed,,to be done up,electric,648,3,0,,true,,,,,,,false,695471,double v immobilière,agency,,,,,classified details,en
0,logged out,,,9763807,house,apartment block,525000,for sale,6700,xl,not installed,,to be done up,gas,288,8,175,,true,,,,,,,false,695471,double v immobilière,agency,,,,,classified details,en
0,logged out,,,9755166,house,apartment block,895000,for sale,7800,xl,not installed,,good,gas,,9,324,,,,,,,1,,false,222547,century 21 clermont,agency,,,,,classified details,en
0,logged out,,,9752647,house,apartment block,300000,for sale,6791,xl,,,to renovate,fueloil,211,6,290,true,true,,,,,2,,false,511625,daniel derome immo,real_estate_agency,,,,,classified details,en
0,logged out,,,9414262,house,apartment block,300000,for sale,6790,xl,,,good,fueloil,272,1,623,,,,,,,,,false,3750696,juliet immo belgique,agency,,,,,classified details,en
0,logged out,,,9217485,house,apartment block,490000,for sale,1160,xl,semi equipped,1960,good,gas,,4,0,,true,,true,true,,8,,false,1942392,bathim &amp; co - l&#039;immobilier sur mesure,agency,,,,,classified details,en
0,logged out,,,9569904,house,apartment block,1430000,for sale,1160,xl,usa installed,1928,to be done up,,,9,460,true,true,15,true,true,,,,false,1110748,oralis real estate,agency,,,,,classified details,en
0,logged out,,,9617928,house,apartment block,635000,for sale,1160,xl,not installed,1923,to renovate,gas,461,5,0,true,true,20,,true,,,,false,1110748,oralis real estate,agency,,,,,classified details,en
0,logged out,,,9774578,house,apartment block,390000,for sale,1160,xl,not installed,,to renovate,gas,630,3,0,,true,,,,,,,false,75105,eventimmo real estate - services,agency,,,,,classified details,en
0,logged out,,,9775049,house,apartment block,830000,for sale,1160,xl,,,to renovate,gas,342,0,99,,,,,,,,,false,1510404,era châtelain,agency,,,,,classified details,en
0,logged out,,,9749385,house,apartment block,625000,for sale,5377,xl,installed,1937,good,fueloil,530,9,2040,true,true,2688,true,,,2,15,false,2138115,picard immo,agency,,,,,classified details,en
,user.loginStatus,user.id,user.personal.language,classified.id,classified.type,classified.subtype,classified.price,classified.transactionType,classified.zip,classified.visualisationOption,classified.kitchen.type,classified.building.constructionYear,classified.building.condition,classified.energy.heatingType,classified.certificates.primaryEnergyConsumptionLevel,classified.bedroom.count,classified.land.surface,classified.atticExists,classified.basementExists,classified.outdoor.garden.surface,classified.outdoor.terrace.exists,classified.specificities.SME.office.exists,classified.wellnessEquipment.hasSwimmingPool,classified.parking.parkingSpaceCount.indoor,classified.parking.parkingSpaceCount.outdoor,classified.condition.isNewlyBuilt,customer.id,customer.name,customer.family,customer.groupInfo.id,customer.groupInfo.name,customer.networkInfo.id,customer.networkInfo.name,screen.name,screen.language
