classified.price,classified.zip,classified.kitchen.type,classified.building.constructionYear,classified.building.condition,classified.certificates.primaryEnergyConsumptionLevel,classified.bedroom.count,classified.land.surface,classified.atticExists,classified.basementExists,classified.outdoor.garden.surface,classified.outdoor.terrace.exists,classified.specificities.SME.office.exists,classified.wellnessEquipment.hasSwimmingPool,classified.parking.parkingSpaceCount.indoor,classified.parking.parkingSpaceCount.outdoor,carbon,electric,fueloil,gas,pellet,wood
299000.0,8610,2.0,1980.0,5.0,363.0,3,992.0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0
585000.0,1840,4.0,1971.0,7.0,323.0,6,795.0,1,0,500.0,1,1,0,1,6,0,0,0,1,0,0
549000.0,9030,3.0,1977.0,1.0,225.0,3,840.0,0,0,0.0,0,0,0,2,1,0,0,0,1,0,0
115000.0,4550,2.0,1964.0,3.0,621.0,2,834.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0
50000.0,4120,2.0,1973.0,5.0,565.0,2,927.0,0,0,0.0,1,0,0,1,2,0,0,1,0,0,0
349000.0,9406,2.0,1974.0,5.0,794.0,3,403.0,1,0,0.0,1,0,0,1,3,0,1,0,0,0,0
365000.0,3090,3.0,1973.0,1.0,374.0,2,467.0,0,0,150.0,0,1,0,1,2,0,0,0,1,0,0
259000.0,4577,2.0,1994.0,5.0,653.0,3,1195.0,0,1,1071.0,1,0,0,2,0,0,0,1,0,0,0
289000.0,4470,3.0,1994.0,7.0,411.0,2,1281.0,0,0,1172.0,1,0,0,1,0,0,0,1,0,0,0
219000.0,4470,1.0,1975.0,1.0,868.0,3,1650.0,0,1,950.0,1,0,0,2,4,0,1,0,0,0,0
395000.0,4420,4.0,1964.0,7.0,699.0,4,795.0,0,1,495.0,1,0,0,2,3,0,0,1,0,0,0
365000.0,8793,2.0,1970.0,5.0,441.0,3,752.0,0,1,0.0,1,0,0,1,5,0,0,1,0,0,0
395000.0,9170,3.0,1975.0,1.0,529.0,3,697.0,0,1,0.0,0,0,0,2,3,0,0,1,0,0,0
349000.0,4140,3.0,1980.0,7.0,199.0,3,1674.0,1,1,850.0,1,1,0,1,5,0,0,1,0,0,0
335000.0,1742,2.0,1965.0,1.0,319.0,3,1650.0,1,1,0.0,1,0,0,1,2,0,0,0,1,0,0
369000.0,3390,2.0,1978.0,5.0,490.0,3,1063.0,1,1,10300.0,0,0,0,1,1,0,0,1,0,0,0
170000.0,4317,1.0,1974.0,3.0,1413.0,2,725.0,0,1,387.0,0,0,0,1,0,0,1,0,0,0,0
260000.0,4300,2.0,1984.0,5.0,287.0,3,1016.0,1,0,871.0,1,1,0,0,4,0,0,1,0,0,0
390000.0,1300,3.0,1984.0,3.0,321.0,2,548.0,1,0,548.0,1,1,0,1,3,0,0,0,1,0,0
45000.0,8434,3.0,1989.0,5.0,740.0,2,159.0,0,0,70.0,1,0,1,0,1,0,1,0,0,0,0
