classified.price,classified.building.constructionYear,classified.building.condition,classified.certificates.primaryEnergyConsumptionLevel,classified.bedroom.count,classified.land.surface,classified.outdoor.garden.surface
2450000.0,1873.0,7.0,255.0,6,266.0,266.0
279000.0,1874.0,7.0,246.0,2,55.0,0.0
345000.0,2012.0,7.0,114.0,3,75.0,10.0
1390000.0,1913.0,7.0,199.0,4,156.0,35.0
475000.0,2021.0,7.0,70.0,3,136.0,136.0
465000.0,1895.0,5.0,286.0,3,50.0,0.0
529000.0,1927.0,7.0,303.0,3,0.0,45.0
235000.0,2021.0,6.0,170.0,1,87.0,67.0
575000.0,1909.0,5.0,202.0,4,65.0,0.0
289500.0,2020.0,6.0,223.0,2,110.0,38.0
610000.0,1906.0,5.0,118.0,7,154.0,62.0
449000.0,1929.0,6.0,143.0,2,122.0,30.0
257000.0,1930.0,5.0,307.0,3,399.0,0.0
329000.0,1961.0,7.0,236.0,3,155.0,0.0
550000.0,1961.0,3.0,336.0,3,2900.0,2000.0
295000.0,1959.0,1.0,596.0,4,730.0,0.0
665000.0,1890.0,5.0,194.0,7,566.0,0.0
520000.0,1776.0,7.0,298.0,5,1010.0,0.0
585000.0,1960.0,5.0,392.0,5,695.0,0.0
245000.0,1940.0,1.0,530.0,3,0.0,0.0
595000.0,2011.0,7.0,120.0,3,275.0,175.0
530000.0,1850.0,5.0,129.0,5,0.0,0.0
1050000.0,1991.0,7.0,164.0,4,3342.0,0.0
650000.0,1920.0,6.0,226.0,5,2167.0,2045.0
490000.0,1966.0,5.0,461.0,3,865.0,758.0
419000.0,1990.0,7.0,242.0,4,0.0,0.0
379000.0,1951.0,5.0,487.0,3,317.0,100.0
199000.0,1930.0,6.0,244.0,2,76.0,0.0
460000.0,2008.0,7.0,100.0,3,366.0,100.0
370000.0,1964.0,3.0,455.0,3,378.0,120.0
298000.0,1950.0,3.0,525.0,3,360.0,0.0
299000.0,2019.0,7.0,257.0,2,79.0,0.0
199000.0,1930.0,3.0,1091.0,2,274.0,0.0
349000.0,1955.0,5.0,603.0,3,723.0,0.0
325000.0,2012.0,7.0,124.0,3,318.0,150.0
365000.0,1950.0,6.0,207.0,6,748.0,650.0
380000.0,1984.0,5.0,327.0,4,829.0,490.0
540000.0,1975.0,3.0,212.0,4,1602.0,0.0
775000.0,1930.0,1.0,160.0,5,175.0,100.0
469000.0,1965.0,3.0,475.0,3,0.0,46.0
849000.0,1965.0,7.0,214.0,4,206.0,100.0
520000.0,1932.0,1.0,525.0,4,142.0,41.0
765000.0,1939.0,3.0,239.0,5,0.0,0.0
399000.0,1899.0,1.0,380.0,3,180.0,132.0
315000.0,1966.0,3.0,398.0,4,700.0,0.0
335000.0,1958.0,6.0,351.0,2,1159.0,795.0
350000.0,1976.0,6.0,255.0,3,2570.0,0.0
259000.0,1989.0,3.0,549.0,2,693.0,0.0
209000.0,1932.0,1.0,405.0,5,209.0,0.0
185000.0,2008.0,5.0,739.0,3,435.0,354.0
425000.0,1998.0,5.0,173.0,3,312.0,40.0
184000.0,1953.0,6.0,917.0,2,82.0,0.0
249900.0,1962.0,1.0,959.0,3,479.0,0.0
80000.0,1918.0,1.0,553.0,4,146.0,90.0
209000.0,1899.0,5.0,277.0,2,216.0,84.0
249000.0,2013.0,5.0,452.0,3,378.0,100.0
167000.0,1936.0,5.0,444.0,2,540.0,430.0
239000.0,1952.0,3.0,495.0,3,2315.0,80.0
980000.0,1898.0,7.0,135.0,12,4000.0,0.0
260000.0,1968.0,5.0,501.0,5,0.0,0.0
215000.0,1930.0,1.0,499.0,6,473.0,0.0
395000.0,2004.0,7.0,189.0,4,1362.0,1136.0
